"label","chord_type","bass_interval_size","tenor_interval_size","alto_interval_size","soprano_interval_size","roughness","pitch_commonality","lerdahl_distance","musician_tension"
"C","major",0,0,0,0,0.109,1,0,1.25
"C#","major",1,6,1,4,0.072,-0.1,16,6.1
"D","major",2,1,2,3,0.108,-0.02,10,6.1
"D#","major",3,0,1,2,0.103,0.12,14,6.6
"E","major",4,1,0,1,0.098,0.13,10,4.1
"F","major",5,5,1,3,0.065,0.32,5,3.8
"F#","major",6,6,2,2,0.061,-0.12,18,5.9
"G","major",7,7,3,1,0.057,0.32,5,2.6
"Ab","major",8,5,1,4,0.119,0.18,14,6
"A","major",9,6,0,3,0.112,0.12,11,6.2
"Bb","major",10,7,1,2,0.106,0.01,10,5.8
"B","major",11,8,2,1,0.099,0.12,13,6.6
"c","minor",0,0,1,0,0.145,0.83,2,3.5
"c#","minor",1,6,0,4,0.093,0,17,7.6
"d","minor",2,2,2,3,0.132,0.06,11,5.5
"d#","minor",3,1,1,2,0.124,-0.09,16,7.1
"e","minor",4,0,0,1,0.117,0.38,11,4.6
"f","minor",5,5,1,4,0.116,0.24,7,6
"f#","minor",6,6,2,3,0.111,-0.1,19,8
"g","minor",7,7,3,2,0.105,0.39,6,6.9
"ab","minor",8,4,1,4,0.123,-0.12,16,7
"a","minor",9,5,0,3,0.115,0.46,12,5
"bb","minor",10,6,1,2,0.108,-0.09,12,6.8
"b","minor",11,7,2,1,0.102,-0.06,14,7.1
"bdim","diminished",11,7,1,1,0.163,-0.02,8,NA
"c'","revoiced",0,5,0,5,0.077,0.91,0,NA
"C7","seventh",0,0,0,2,0.124,0.72,7,4.8
"C#7","seventh",1,3,1,4,0.168,-0.1,20,6.5
"D7","seventh",2,1,4,3,0.2,0.29,8,5.6
"D#7","seventh",3,0,3,2,0.191,0.09,18,6
"E7","seventh",4,1,2,1,0.182,0.02,7,5.6
"F7","seventh",5,8,1,3,0.186,0.07,12,5.5
"F#7","seventh",6,6,0,2,0.157,0.02,18,6.7
"G7","seventh",7,7,1,1,0.149,0.21,9,3.3
"Ab7","seventh",8,5,1,6,0.204,0.15,23,6.9
"A7","seventh",9,6,0,5,0.192,0.36,7,8
"Bb7","seventh",10,7,1,4,0.182,-0.02,16,7.5
"B7","seventh",11,8,2,3,0.171,-0.11,11,8.1
"c7","minor_seventh",0,0,1,2,0.147,0.45,9,5.8
"c#7","minor_seventh",1,3,0,4,0.161,0.05,21,7.8
"d7","minor_seventh",2,2,4,3,0.189,0.33,9,5.5
"eb7","minor_seventh",3,1,3,2,0.18,-0.13,20,8
"e7","minor_seventh",4,0,2,1,0.171,0.29,8,4.8
"f7","minor_seventh",5,8,1,4,0.194,0.04,14,6
"f#7","minor_seventh",6,6,0,3,0.185,0.07,19,7.3
"g7","minor_seventh",7,7,1,2,0.176,0.21,10,7.6
"ab7","minor_seventh",8,3,1,6,0.186,-0.14,24,8.8
"a7","minor_seventh",9,5,0,5,0.175,0.75,8,7.1
"bb7","minor_seventh",10,6,1,4,0.165,-0.11,18,8
"b7","minor_seventh",11,7,2,3,0.155,-0.05,12,8.3
