name,pc_1,pc_2,pc_3,pc_4,f_1,f_2,f_3,f_4,rating_rank,rating_mean,rating_sd,rating_se,bowling_harm_sim,bowling_min_freq_int
,0,1,2,3,238.3,254.18,268.08,285.96,63,1.400,0.621,0.113,0.027,13.90
,0,1,2,4,235.61,251.32,265.07,294.52,60,1.500,0.630,0.115,0.027,13.75
,0,1,2,5,231.28,246.69,260.18,308.37,54,1.700,0.837,0.153,0.025,13.49
,0,1,2,6,227.92,243.11,256.41,319.08,57,1.600,0.724,0.132,0.027,13.30
suspended 2nd + m2,0,1,2,7,223.06,237.93,250.94,334.59,61,1.467,0.571,0.104,0.024,13.01
,0,1,2,8,218.4,232.96,245.7,349.45,61,1.467,0.571,0.104,0.024,12.74
,0,1,2,9,215.41,229.77,242.33,359.01,62,1.433,0.568,0.104,0.025,12.56
,0,1,2,10,209.65,223.63,235.86,377.38,68,1.233,0.504,0.092,0.026,12.23
,0,1,2,11,206.55,220.32,232.37,387.28,72,1.033,0.183,0.033,0.025,12.05
,0,1,2,12,201.58,215.02,226.77,403.15,71,1.100,0.403,0.074,0.022,11.75
,0,1,3,4,231.7,247.15,278.04,289.63,63,1.400,0.675,0.123,0.051,11.59
,0,1,3,5,227.5,242.67,273.01,303.34,50,1.833,0.592,0.108,0.189,15.17
,0,1,3,6,224.25,239.2,269.11,313.96,58,1.567,0.728,0.133,0.194,14.95
minor triad (r) + m2,0,1,3,7,219.55,234.19,263.46,329.32,49,1.867,0.730,0.133,0.093,14.64
,0,1,3,8,215.04,229.37,258.05,344.06,45,2.000,0.695,0.127,0.175,14.33
,0,1,3,9,212.13,226.27,254.56,353.55,58,1.567,0.626,0.114,0.189,14.14
,0,1,3,10,206.55,220.32,247.86,371.79,65,1.333,0.547,0.100,0.179,13.77
,0,1,3,11,203.54,217.11,244.24,381.63,64,1.367,0.615,0.112,0.024,13.57
,0,1,3,12,198.71,211.95,238.45,397.41,57,1.600,0.855,0.156,0.164,13.24
,0,1,4,5,225.06,240.06,281.32,300.08,51,1.800,0.761,0.139,0.048,15.00
,0,1,4,6,221.88,236.67,277.35,310.63,59,1.533,0.730,0.133,0.050,14.79
major triad (r) + m2,0,1,4,7,217.27,231.76,271.59,325.91,53,1.733,0.785,0.143,0.046,14.49
,0,1,4,8,212.85,227.04,266.06,340.56,53,1.733,0.828,0.151,0.045,14.19
,0,1,4,9,210,224,262.51,350.01,54,1.700,0.596,0.109,0.048,14.00
,0,1,4,10,204.53,218.17,255.66,368.16,56,1.633,0.615,0.112,0.048,13.64
,0,1,4,11,201.58,215.02,251.97,377.96,59,1.533,0.629,0.115,0.023,13.44
,0,1,4,12,196.84,209.96,246.05,393.68,50,1.833,0.747,0.136,0.041,13.12
,0,1,5,6,218.03,232.56,290.7,305.24,64,1.367,0.615,0.112,0.186,14.53
suspended 4th + m2,0,1,5,7,213.58,227.81,284.77,320.36,45,2.000,0.695,0.127,0.086,14.23
,0,1,5,8,209.3,223.26,279.07,334.89,41,2.133,0.507,0.093,0.167,13.96
,0,1,5,9,206.55,220.32,275.4,344.25,54,1.700,0.466,0.085,0.170,13.77
,0,1,5,10,201.25,214.67,268.34,362.26,44,2.033,0.556,0.102,0.178,13.42
,0,1,5,11,198.39,211.62,264.52,371.99,52,1.767,0.728,0.133,0.023,13.23
power chord + m2,0,1,5,12,193.8,206.72,258.4,387.6,36,2.300,0.877,0.160,0.150,12.92
,0,1,6,7,210.71,224.76,294.99,316.06,63,1.400,0.563,0.103,0.091,14.05
,0,1,6,8,206.55,220.32,289.17,330.48,54,1.700,0.750,0.137,0.175,13.77
,0,1,6,9,203.87,217.46,285.41,339.78,62,1.433,0.504,0.092,0.186,13.59
,0,1,6,10,198.71,211.95,278.19,357.67,49,1.867,0.571,0.104,0.185,13.24
,0,1,6,11,195.92,208.98,274.28,367.34,53,1.733,0.691,0.126,0.024,13.06
,0,1,6,12,191.44,204.2,268.01,382.87,54,1.700,0.750,0.137,0.161,12.76
,0,1,7,8,202.55,216.06,303.83,324.08,60,1.500,0.509,0.093,0.082,13.51
,0,1,7,9,199.97,213.3,299.96,333.29,65,1.333,0.479,0.088,0.086,13.33
,0,1,7,10,195,208,292.51,351.01,48,1.900,0.759,0.139,0.088,13.00
,0,1,7,11,192.32,205.14,288.47,360.59,56,1.633,0.490,0.089,0.022,12.82
power chord + m2,0,1,7,12,188,200.53,282,376,52,1.767,0.774,0.141,0.074,12.53
,0,1,8,9,196.22,209.3,313.96,327.04,63,1.400,0.563,0.103,0.167,13.08
,0,1,8,10,191.44,204.2,306.3,344.59,46,1.967,0.718,0.131,0.168,12.76
,0,1,8,11,188.85,201.44,302.15,354.09,57,1.600,0.563,0.103,0.022,12.59
,0,1,8,12,184.68,196.99,295.49,369.36,34,2.367,0.964,0.176,0.142,12.31
,0,1,9,10,189.13,201.74,315.22,340.43,68,1.233,0.430,0.079,0.178,12.61
,0,1,9,11,186.6,199.04,311,349.88,69,1.200,0.484,0.088,0.023,12.44
,0,1,9,12,182.53,194.7,304.22,365.07,54,1.700,0.702,0.128,0.150,12.17
,0,1,10,11,182.27,194.42,328.08,341.75,65,1.333,0.479,0.088,0.023,12.15
,0,1,10,12,178.38,190.28,321.09,356.77,51,1.800,0.714,0.130,0.153,11.90
,0,1,11,12,176.13,187.87,330.25,352.26,63,1.400,0.621,0.113,0.020,11.74
,0,2,3,4,228.75,257.34,274.5,285.93,55,1.667,0.711,0.130,0.074,11.43
,0,2,3,5,224.66,252.74,269.59,299.54,45,2.000,0.788,0.144,0.025,16.85
,0,2,3,6,221.49,249.17,265.78,310.08,54,1.700,0.596,0.109,0.073,16.61
minor triad (r) + M2,0,2,3,7,216.9,244.01,260.27,325.34,25,2.667,0.994,0.182,0.067,16.26
,0,2,3,8,212.49,239.05,254.99,339.99,42,2.100,0.885,0.162,0.069,15.94
,0,2,3,9,209.65,235.86,251.58,349.42,51,1.800,0.610,0.111,0.024,15.72
,0,2,3,10,204.2,229.72,245.04,367.56,53,1.733,0.640,0.117,0.067,15.32
,0,2,3,11,201.25,226.41,241.5,377.35,54,1.700,0.651,0.119,0.069,15.09
,0,2,3,12,196.53,221.1,235.84,393.06,54,1.700,0.596,0.109,0.061,14.74
,0,2,4,5,222.27,250.05,277.84,296.36,34,2.367,0.718,0.131,0.117,18.52
,0,2,4,6,219.17,246.56,273.96,306.83,37,2.267,0.640,0.117,0.072,27.39
major triad (r) + M2,0,2,4,7,214.67,241.5,268.34,322.01,4,3.533,0.571,0.104,0.311,26.83
,0,2,4,8,210.36,236.65,262.94,336.57,42,2.100,0.662,0.121,0.070,26.29
,0,2,4,9,207.57,233.52,259.47,345.96,35,2.333,0.661,0.121,0.113,25.95
,0,2,4,10,202.23,227.5,252.78,364.01,49,1.867,0.629,0.115,0.069,25.27
,0,2,4,11,199.34,224.25,249.17,373.76,39,2.200,0.805,0.147,0.311,24.91
,0,2,4,12,194.7,219.04,243.38,389.4,29,2.533,0.776,0.142,0.289,24.34
,0,2,5,6,215.41,242.33,287.21,301.57,56,1.633,0.615,0.112,0.024,14.36
mu chord,0,2,5,7,211.06,237.45,281.42,316.59,26,2.633,0.669,0.122,0.104,26.39
,0,2,5,8,206.89,232.75,275.85,331.02,38,2.233,0.728,0.133,0.023,25.86
,0,2,5,9,204.2,229.72,272.27,340.33,23,2.767,0.774,0.141,0.107,25.52
,0,2,5,10,199.02,223.9,265.36,358.24,32,2.433,0.898,0.164,0.023,24.88
,0,2,5,11,196.22,220.75,261.63,367.92,35,2.333,0.758,0.138,0.108,24.53
power chord + M2,0,2,5,12,191.73,215.69,255.64,383.46,29,2.533,0.776,0.142,0.095,23.96
suspended 2nd + tt,0,2,6,7,208.26,234.3,291.57,312.39,35,2.333,0.711,0.130,0.064,20.82
,0,2,6,8,204.2,229.72,285.88,326.72,50,1.833,0.747,0.136,0.069,25.52
,0,2,6,9,201.58,226.77,282.21,335.96,21,2.833,0.747,0.136,0.023,25.19
,0,2,6,10,196.53,221.1,275.14,353.75,48,1.900,0.607,0.111,0.068,24.57
,0,2,6,11,193.8,218.03,271.32,363.38,31,2.467,0.629,0.115,0.067,24.23
,0,2,6,12,189.42,213.09,265.18,378.83,23,2.767,0.626,0.114,0.059,23.67
suspended 2nd + m6,0,2,7,8,200.29,225.33,300.44,320.47,50,1.833,0.747,0.136,0.063,20.03
suspended 2nd + M6,0,2,7,9,197.77,222.49,296.65,329.61,33,2.400,0.894,0.163,0.100,24.72
suspended 2nd + m7,0,2,7,10,192.91,217.02,289.36,347.23,34,2.367,0.850,0.155,0.061,24.11
suspended 2nd + M7,0,2,7,11,190.28,214.06,285.41,356.77,20,2.867,0.819,0.150,0.283,23.78
suspended 2nd + Oct,0,2,7,12,186.05,209.3,279.07,372.1,13,3.100,0.662,0.121,0.250,23.25
,0,2,8,9,194.1,218.36,310.56,323.5,63,1.400,0.563,0.103,0.022,12.94
,0,2,8,10,189.42,213.09,303.06,340.95,40,2.167,0.791,0.145,0.067,23.67
,0,2,8,11,186.88,210.24,299.01,350.4,40,2.167,0.648,0.118,0.065,23.36
