name,pc_1,pc_2,pc_3,f_1,f_2,f_3,rating_rank,rating_mean,rating_sd,rating_se,bowling_harm_sim,bowling_min_freq_int
,0,1,2,245.92,262.31,276.66,46,1.066666667,0.253708132,0.046320556,0.022,14.35
,0,1,3,240.27,256.29,288.33,34,1.666666667,0.758098044,0.138409133,0.164,16.02
,0,1,4,236.65,252.43,295.81,38,1.5,0.572351471,0.104496604,0.041,15.78
,0,1,5,230.85,246.24,307.8,26,2.1,0.661763579,0.120820947,0.150,15.39
Viennese trichord,0,1,6,226.41,241.5,316.97,32,1.8,0.610257153,0.111417203,0.161,15.09
,0,1,7,220.06,234.73,330.09,40,1.4,0.498272879,0.090971765,0.074,14.67
,0,1,8,214.06,228.33,342.5,39,1.466666667,0.507416263,0.092641111,0.142,14.27
,0,1,9,210.24,224.25,350.4,42,1.266666667,0.449776445,0.082117568,0.150,14.01
,0,1,10,202.99,216.52,365.38,45,1.166666667,0.379049022,0.069204567,0.153,13.53
,0,1,11,199.13,212.4,373.36,44,1.2,0.484234198,0.088408664,0.020,13.27
,0,1,12,193.01,205.87,386.01,39,1.466666667,0.571346464,0.104313115,0.125,12.86
,0,2,3,236.06,265.56,283.27,36,1.6,0.723973709,0.13217891,0.061,17.71
,0,2,4,232.56,261.63,290.7,14,2.6,0.813676204,0.148556271,0.289,29.07
,0,2,5,226.96,255.33,302.61,12,2.7,0.794376789,0.145032695,0.095,28.37
,0,2,6,222.66,250.5,311.73,19,2.366666667,0.6149479,0.112273612,0.059,27.84
suspended 2nd,0,2,7,216.52,243.59,324.78,10,2.933333333,0.691491807,0.126248554,0.250,27.07
,0,2,8,210.71,237.05,337.13,33,1.766666667,0.678910554,0.123951542,0.057,26.34
,0,2,9,207,232.88,345.01,30,1.9,0.803011573,0.146609184,0.091,25.88
,0,2,10,199.97,224.97,359.95,32,1.8,0.610257153,0.111417203,0.056,25.00
,0,2,11,196.22,220.75,367.92,27,2.033333333,0.808716878,0.147650826,0.261,24.53
,0,2,12,190.28,214.06,380.55,23,2.2,0.71438423,0.130428119,0.222,23.78
,0,3,4,227.5,273.01,284.38,44,1.2,0.406838102,0.074278135,0.113,11.37
,0,3,5,222.14,266.57,296.18,18,2.4,0.723973709,0.13217891,0.144,29.61
dimished triad (r) ,0,3,6,218.03,261.63,305.24,19,2.366666667,0.718395402,0.131160456,0.429,43.60
minor triad (r) ,0,3,7,212.13,254.56,318.2,6,3.4,0.674664668,0.123176352,0.200,42.43
major triad (1),0,3,8,206.55,247.86,330.48,4,3.633333333,0.6149479,0.112273612,0.400,41.31
dimished triad (1),0,3,9,202.99,243.59,338.31,22,2.233333333,0.678910554,0.123951542,0.138,40.60
,0,3,10,196.22,235.47,353.2,15,2.533333333,0.730296743,0.133333333,0.378,39.25
,0,3,11,192.61,231.13,361.15,37,1.533333333,0.571346464,0.104313115,0.053,38.52
,0,3,12,186.88,224.25,373.76,11,2.8,0.924755326,0.168836451,0.333,37.37
,0,4,5,219.04,273.8,292.05,25,2.133333333,0.776079152,0.141692019,0.175,18.25
,0,4,6,215.04,268.8,301.05,30,1.9,0.547722558,0.1,0.109,32.25
major triad (r) ,0,4,7,209.3,261.63,313.96,2,3.8,0.406838102,0.074278135,0.467,52.33
augmented triad ,0,4,8,203.87,254.83,326.19,29,1.933333333,0.63968383,0.116789754,0.105,50.96
minor triad (1),0,4,9,200.4,250.5,334,9,3.033333333,0.808716878,0.147650826,0.167,50.10
Italian 6th,0,4,10,193.8,242.25,348.84,17,2.433333333,0.773854363,0.14128583,0.102,48.45
