id,midi,mean_rating,roughness.jl,dual_process
1a,48 64 67,1.667,7.27,1
1b,52 67 72,2.889,6.11,1
1c,55 72 76,2.741,9.92,1
2a,55 74 77,2.481,4,2
2b,50 65 79,4.444,13.93,2
2c,53 67 74,3.63,11.52,2
3a,55 71 77,2.63,7.6,2
3b,59 65 79,3.556,17.85,2
3c,53 67 71,4,19.4,2
4a,50 65 72,2.926,8.94,2
4b,53 60 74,3.333,8.96,2
4c,48 74 77,4.296,11.03,2
5a,45 60 64,2.407,9.72,2
5b,48 64 69,3.593,10.77,2
5c,52 69 72,3.481,18.38,2
6a,53 60 67,3.148,9.83,2
6b,48 55 65,2.852,13.4,2
6c,55 65 72,3.111,12.14,2
7a,48 67 71,3.37,10.6,2
7b,55 59 72,3.296,22.67,2
7c,59 60 67,4.741,36.97,2
8a,48 64 71,2.63,10.97,2
8b,52 59 72,3.704,19.94,2
8c,59 60 64,3.963,37.07,2
9a,47 62 65,3.889,22.14,2
9b,50 65 71,3.519,13.69,2
9c,53 71 74,3.667,16.83,2
10a,48 71 74,3.963,13.9,3
10b,50 59 72,4.148,22.14,3
10c,59 60 62,5.185,54.29,3
11a,47 65 69,5.148,17.46,3
11b,53 57 71,3.444,20.93,3
11c,57 71 77,5.296,18.74,3
12a,48 65 71,3.926,18.67,3
12b,53 59 72,3.704,17.66,3
12c,59 60 65,4.519,39.64,3
13a,50 64 67,3.481,19.02,3
13b,52 62 79,3.333,17.07,3
13c,55 64 74,3.222,7.51,3
14a,45 60 71,3.63,24.85,3
14b,59 60 69,5.185,40.3,3
14c,45 59 72,4,30.65,3
15a,53 64 71,4.815,26.39,3
15b,64 65 71,5.296,35.4,3
15c,59 64 77,5.333,38.53,3
16,48 64 68,5.259,16.07,4
17a,48 63 71,5.593,17.27,4
17b,51 59 72,5.815,25.87,4
17c,59 60 63,4.148,41.16,4
18a,48 68 71,5.63,21.64,4
18b,56 59 72,4.259,23.31,4
18c,59 60 68,5.296,39.95,4
19a,48 62 73,5.593,30.42,5
19b,49 60 74,5.852,29.1,5
19c,50 61 72,6.667,33.88,5
