chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
{0},0.000,0.000,1.000,1.000000
"{0,7}",1.000,2.000,4.000,0.666667
"{0,9}",1.585,2.000,7.000,0.466667
"{0,5}",1.585,3.000,5.000,0.500000
"{0,4}",2.000,3.000,7.000,0.400000
"{0,3}",2.322,3.000,8.000,0.333333
"{0,8}",2.322,4.000,8.000,0.300000
"{0,6}",2.565,2.500,11.500,0.314286
"{0,10}",2.746,4.500,9.000,0.288889
"{0,11}",3.000,5.000,10.000,0.183333
"{0,2}",3.085,4.500,9.000,0.222222
"{0,1}",3.907,6.000,11.000,0.125000
"{0,5,9}",1.585,4.000,9.000,0.455556
"{0,4,7}",2.000,4.000,9.000,0.466667
"{0,3,8}",2.322,5.000,10.000,0.377778
"{0,4,11}",3.000,5.000,10.000,0.416667
"{0,7,11}",3.000,5.000,10.000,0.416667
"{0,7,9}",3.057,5.000,10.333,0.451852
"{0,3,10}",3.133,5.333,10.667,0.429630
"{0,5,7}",3.164,5.333,9.667,0.462963
"{0,3,7}",3.322,4.000,9.000,0.466667
"{0,7,8}",3.322,6.000,11.000,0.363889
"{0,8,10}",3.379,6.333,12.333,0.270370
"{0,5,10}",3.416,6.000,10.333,0.429630
"{0,9,10}",3.416,6.333,13.667,0.293519
"{0,4,9}",3.585,4.000,9.000,0.455556
"{0,2,7}",3.585,5.667,10.000,0.462963
"{0,2,11}",3.585,6.000,13.333,0.290741
"{0,4,5}",3.585,6.000,11.000,0.341667
"{0,6,9}",3.628,4.667,15.333,0.371429
"{0,2,9}",3.642,5.000,11.333,0.451852
"{0,2,5}",3.642,6.000,11.333,0.351852
"{0,3,9}",3.712,4.667,15.333,0.371429
"{0,2,4}",3.723,6.000,12.000,0.281481
"{0,3,6}",3.786,5.000,15.667,0.326984
"{0,7,10}",3.800,5.333,11.667,0.429630
"{0,6,10}",3.874,6.000,15.667,0.334392
"{0,2,10}",3.887,6.667,12.667,0.270370
"{0,5,8}",3.907,5.000,10.000,0.377778
"{0,1,5}",3.907,6.000,11.000,0.341667
"{0,1,8}",3.907,6.000,11.000,0.363889
"{0,6,8}",3.924,6.333,16.000,0.278836
"{0,4,10}",3.938,6.000,15.667,0.334392
"{0,4,6}",4.043,6.000,15.667,0.312169
"{0,3,5}",4.045,5.667,12.000,0.351852
"{0,2,6}",4.100,6.000,15.667,0.312169
"{0,1,3}",4.153,6.667,14.000,0.226852
"{0,5,11}",4.164,6.667,15.333,0.332540
"{0,6,7}",4.238,6.667,15.333,0.368651
"{0,4,8}",4.322,6.667,13.667,0.366667
"{0,2,8}",4.379,6.667,16.333,0.278836
"{0,9,11}",4.390,6.667,13.000,0.290741
"{0,1,6}",4.402,7.000,15.667,0.313095
"{0,8,11}",4.655,7.667,15.667,0.272222
"{0,6,11}",4.905,7.000,16.667,0.332540
"{0,1,9}",4.907,7.667,15.667,0.297222
"{0,1,10}",4.964,7.333,13.667,0.293519
"{0,3,4}",4.989,7.667,15.667,0.286111
"{0,5,6}",5.069,7.333,17.000,0.313095
"{0,2,3}",5.133,7.667,14.000,0.226852
"{0,1,7}",5.153,7.000,16.667,0.368651
